"Latest: Time (s)","Latest: Magnetic Field (mT)"
0,0.377098872403
0.05,0.375340630684
0.1,0.375926711257
0.15,0.375731351066
0.2,0.375731351066
0.25,0.376708152021
0.3,0.377684952975
0.35,0.377098872403
0.4,0.375145270493
0.45,0.377489592784
0.5,0.375535990875
0.55,0.376708152021
0.6,0.375535990875
0.65,0.373191668583
0.7,0.372800948201
0.75,0.375535990875
0.8,0.37260558801
0.85,0.364986540561
0.9,0.342520118597
0.95,0.323179459688
1,0.303057360016
1.05,0.282544539962
1.1,0.268869326592
1.15,0.254217312268
1.2,0.243081781381
1.25,0.235462733932
1.3,0.225890084573
1.35,0.216122075024
1.4,0.212996311968
1.45,0.207721586811
1.5,0.203032942227
1.55,0.199125738407
1.6,0.194046373442
1.65,0.196195335542
1.7,0.196195335542
1.75,0.196781416115
1.8,0.194827814206
1.85,0.197367496688
1.9,0.195609254969
1.95,0.195218534588
2,0.196976776306
2.05,0.196781416115
2.1,0.19775821707
2.15,0.194241733633
2.2,0.195999975351
2.25,0.195999975351
2.3,0.195218534588
2.35,0.195999975351
2.4,0.196781416115
2.45,0.194437093824
2.5,0.194827814206
2.55,0.194437093824
2.6,0.19580461516
2.65,0.195218534588
2.7,0.19580461516
2.75,0.19580461516
2.8,0.195218534588
2.85,0.194827814206
2.9,0.194437093824
2.95,0.195413894778
3,0.195413894778
3.05,0.196976776306
3.1,0.195023174397
3.15,0.195609254969
3.2,0.195999975351
3.25,0.197367496688
3.3,0.195609254969
3.35,0.195023174397
3.4,0.193264932678
3.45,0.196586055924
3.5,0.19580461516
3.55,0.196586055924
3.6,0.197172136497
3.65,0.194632454015
3.7,0.195999975351
3.75,0.194827814206
3.8,0.195999975351
3.85,0.193851013251
3.9,0.195609254969
3.95,0.19580461516
4,0.195999975351
4.05,0.195999975351
4.1,0.197172136497
4.15,0.196195335542
4.2,0.196390695733
4.25,0.195609254969
4.3,0.196586055924
4.35,0.194827814206
4.4,0.193460292869
4.45,0.195023174397
4.5,0.194827814206
4.55,0.195609254969
4.6,0.197562856879
4.65,0.195413894778
4.7,0.19580461516
4.75,0.198344297643
4.8,0.197367496688
4.85,0.197562856879
4.9,0.195999975351
4.95,0.193460292869
5,0.194241733633
5.05,0.195999975351
5.1,0.197367496688
5.15,0.194632454015
5.2,0.196390695733
5.25,0.195413894778
5.3,0.197562856879
5.35,0.198735018025
5.4,0.193460292869
5.45,0.178417558162
5.5,0.160053700209
5.55,0.149113529513
5.6,0.145401685884
5.65,0.141689842255
5.7,0.140126960727
5.75,0.134266154998
5.8,0.130163590987
5.85,0.128209989077
5.9,0.123912064875
5.95,0.120786301819
6,0.116097657235
6.05,0.116293017426
6.1,0.111409012651
6.15,0.111409012651
6.2,0.111995093224
6.25,0.111604372842
6.3,0.109846131123
6.35,0.110041491314
6.4,0.110822932078
6.45,0.108673969977
6.5,0.106525007876
6.55,0.108478609786
6.6,0.108087889404
6.65,0.106329647685
6.7,0.105743567112
6.75,0.106525007876
6.8,0.106720368067
6.85,0.101445642911
6.9,0.102031723484
6.95,0.102031723484
7,0.101836363293
7.05,0.102227083675
7.1,0.10125028272
7.15,0.100468841956
7.2,0.0996874011917
7.25,0.101445642911
7.3,0.100664202147
7.35,0.100468841956
7.4,0.101445642911
7.45,0.0994920410007
7.5,0.101641003102
7.55,0.100273481765
7.6,0.0998827613826
7.65,0.0992966808097
7.7,0.102617804057
7.75,0.100468841956
7.8,0.0992966808097
7.85,0.0992966808097
7.9,0.10125028272
7.95,0.10125028272
8,0.101641003102
8.05,0.0998827613826
8.1,0.103594605012
8.15,0.101836363293
8.2,0.10125028272
8.25,0.100468841956
8.3,0.101445642911
8.35,0.101641003102
8.4,0.101445642911
8.45,0.100273481765
8.5,0.0992966808097
8.55,0.100273481765
8.6,0.0991013206187
8.65,0.0998827613826
8.7,0.100859562338
8.75,0.102227083675
8.8,0.103399244821
8.85,0.0991013206187
8.9,0.0996874011917
8.95,0.0979291594727
9,0.0918729935519
9.05,0.0865982683951
9.1,0.0836678655302
9.15,0.0783931403734
9.2,0.0744859365535
9.25,0.0692112113967
9.3,0.0651086473858
9.35,0.0615921639479
9.4,0.0547545572631
9.45,0.0514334340162
9.5,0.0506519932523
9.55,0.0486983913423
9.6,0.0467447894324
9.65,0.0451819079045
9.7,0.0445958273315
9.75,0.0420561448486
9.8,0.0414700642756
9.85,0.0438143865675
9.9,0.0416654244666
9.95,0.0426422254215
10,0.0455726282864
10.05,0.0422515050396
10.1,0.0434236661855
10.15,0.0428375856125
10.2,0.0408839837026
10.25,0.0422515050396
10.3,0.0438143865675
10.35,0.0436190263765
10.4,0.0404932633206
10.45,0.0424468652305
10.5,0.0436190263765
10.55,0.0412747040846
10.6,0.0420561448486
10.65,0.0402979031296
10.7,0.0438143865675
10.75,0.0461587088594
10.8,0.0418607846576
10.85,0.0451819079045
10.9,0.0424468652305
10.95,0.0430329458035
11,0.0399071827476
11.05,0.0444004671405
11.1,0.0430329458035
11.15,0.0432283059945
11.2,0.0428375856125
11.25,0.0432283059945
11.3,0.0438143865675
11.35,0.0399071827476
11.4,0.0426422254215
11.45,0.0416654244666
11.5,0.0418607846576
11.55,0.0401025429386
11.6,0.0358046187368
11.65,0.0344370973998
11.7,0.0313113343439
11.75,0.027404130524
11.8,0.0252551684231
11.85,0.0256458888051
11.9,0.0258412489961
11.95,0.0248644480411
12,0.0262319693781
12.05,0.0250598082321
12.1,0.0236922868952
12.15,0.0242783674681
12.2,0.0236922868952
12.25,0.0233015665132
12.3,0.0227154859402
12.35,0.0240830072771
12.4,0.0219340451762
12.45,0.0227154859402
12.5,0.0242783674681
12.55,0.0252551684231
12.6,0.0248644480411
12.65,0.0229108461312
12.7,0.0252551684231
12.75,0.0221294053672
12.8,0.0219340451762
12.85,0.0217386849852
12.9,0.0233015665132
12.95,0.0234969267042
13,0.0250598082321
13.05,0.0236922868952
13.1,0.0215433247942
13.15,0.0240830072771
13.2,0.0215433247942
13.25,0.0221294053672
13.3,0.0234969267042
13.35,0.0229108461312
13.4,0.0236922868952
13.45,0.0246690878501
13.5,0.0238876470862
13.55,0.0233015665132
13.6,0.0209572442213
13.65,0.0233015665132
13.7,0.0217386849852
13.75,0.0221294053672
13.8,0.0240830072771
13.85,0.0213479646032
13.9,0.0217386849852
13.95,0.0231062063222
14,0.0219340451762
14.05,0.0227154859402
14.1,0.0229108461312
14.15,0.0233015665132
14.2,0.0223247655582
14.25,0.0234969267042
14.3,0.0223247655582
14.35,0.0223247655582
14.4,0.0236922868952
14.45,0.0229108461312
14.5,0.0211526044122
14.55,0.0221294053672
14.6,0.0242783674681
14.65,0.0225201257492
14.7,0.0229108461312
14.75,0.0225201257492
14.8,0.0227154859402
14.85,0.0215433247942
14.9,0.0217386849852
14.95,0.0233015665132
15,0.0217386849852
15.05,0.0217386849852
15.1,0.0225201257492
15.15,0.0221294053672
15.2,0.0219340451762
15.25,0.0215433247942
15.3,0.0240830072771
15.35,0.0209572442213
15.4,0.0219340451762
15.45,0.0223247655582
15.5,0.0213479646032
15.55,0.0219340451762
15.6,0.0225201257492
15.65,0.0231062063222
